:START_ID,:END_ID,type:TYPE,method,trigger,evidence_span,section_heading,sentence_id:int
0,2,GENE_PRODUCT_INTERACTS_WITH_GENE_PRODUCT,COOC,,"Here we describe the results from the WetLab-2 validation experiments conducted in microgravity during ISS increment 47/SPX-8.Specifically, quantitative PCR was performed on a concentration series of DNA calibration standards, and Reverse T",ABSTRACT,4
0,3,GENE_PRODUCT_INTERACTS_WITH_GENE_PRODUCT,COOC,,"Here we describe the results from the WetLab-2 validation experiments conducted in microgravity during ISS increment 47/SPX-8.Specifically, quantitative PCR was performed on a concentration series of DNA calibration standards, and Reverse T",ABSTRACT,4
0,4,GENE_PRODUCT_INTERACTS_WITH_GENE_PRODUCT,COOC,,"Here we describe the results from the WetLab-2 validation experiments conducted in microgravity during ISS increment 47/SPX-8.Specifically, quantitative PCR was performed on a concentration series of DNA calibration standards, and Reverse T",ABSTRACT,4
2,3,GENE_PRODUCT_INTERACTS_WITH_GENE_PRODUCT,COOC,,"Here we describe the results from the WetLab-2 validation experiments conducted in microgravity during ISS increment 47/SPX-8.Specifically, quantitative PCR was performed on a concentration series of DNA calibration standards, and Reverse T",ABSTRACT,4
2,4,GENE_PRODUCT_INTERACTS_WITH_GENE_PRODUCT,COOC,,"Here we describe the results from the WetLab-2 validation experiments conducted in microgravity during ISS increment 47/SPX-8.Specifically, quantitative PCR was performed on a concentration series of DNA calibration standards, and Reverse T",ABSTRACT,4
3,4,GENE_PRODUCT_INTERACTS_WITH_GENE_PRODUCT,COOC,,"Here we describe the results from the WetLab-2 validation experiments conducted in microgravity during ISS increment 47/SPX-8.Specifically, quantitative PCR was performed on a concentration series of DNA calibration standards, and Reverse T",ABSTRACT,4
7,8,GENE_PRODUCT_INTERACTS_WITH_GENE_PRODUCT,COOC,,"As human exploration of the solar system proceeds, human missions to Mars and deep space will require greater levels of autonomy and resourcefulness as outlined in the National Research Council's Space Exploration Decadal Survey for Life an",INTRODUCTION,10
11,12,GENE_PRODUCT_INTERACTS_WITH_GENE_PRODUCT,COOC,,"[6][7][8][9][10][11][12][13][14].Recent efforts by various groups of investigators have sought to develop portions of an overall genomic and molecular biology experimental capability on ISS.Specifically, these include the NASA Genes in Spac",INTRODUCTION,13
20,21,GENE_PRODUCT_INTERACTS_WITH_GENE_PRODUCT,COOC,,"This consisted of first demonstrating that qPCR functions in microgravity conditions, followed by demonstration of RNA isolation from bacterial cell and mammalian tissue and gene expression analysis by RT-qPCR.When gases evolved by thermal ",INTRODUCTION,22
20,22,GENE_PRODUCT_INTERACTS_WITH_GENE_PRODUCT,COOC,,"This consisted of first demonstrating that qPCR functions in microgravity conditions, followed by demonstration of RNA isolation from bacterial cell and mammalian tissue and gene expression analysis by RT-qPCR.When gases evolved by thermal ",INTRODUCTION,22
