id:ID,mention,frequency:int,node_type:LABEL,sections
0,Space,1,GENE_PRODUCT,ABSTRACT
1,GeneLab,1,GENE_PRODUCT,ABSTRACT
2,Microarray data,1,EXPERIMENT,ABSTRACT
3,cardiomyocytes,1,CELL_TYPE,ABSTRACT
4,followed,1,GENE_PRODUCT,ABSTRACT
5,1 GeV,1,EXPERIMENT,ABSTRACT
6,1 GeV/n,1,EXPERIMENT,ABSTRACT
7,56 Fe,1,EXPERIMENT,ABSTRACT
8,human endothelial cells,1,CELL_TYPE,ABSTRACT
9,HUVECs,1,GENE_PRODUCT,ABSTRACT
10,tive stress,1,PHENOTYPE,ABSTRACT
12,FYN,1,GENE_PRODUCT,ABSTRACT
13,FYN,1,GENE_PRODUCT,ABSTRACT
14,ROS,1,GENE_PRODUCT,ABSTRACT
15,transcriptomic signature,1,EXPERIMENT,ABSTRACT
16,exposure,1,GENE_PRODUCT,ABSTRACT
17,protons,1,GENE_PRODUCT,ABSTRACT
18,flight signature,1,EXPERIMENT,ABSTRACT
19,GeneLab,1,GENE_PRODUCT,ABSTRACT
20,ISS,1,GENE_PRODUCT,ABSTRACT
21,radiation studies,1,EXPERIMENT,ABSTRACT
22,Long,1,GENE_PRODUCT,INTRODUCTION
23,LEO,1,GENE_PRODUCT,INTRODUCTION
24,different,1,PHENOTYPE,INTRODUCTION
25,Space radiation,1,EXPERIMENT,INTRODUCTION
26,protons,1,GENE_PRODUCT,INTRODUCTION
27,HZE,1,GENE_PRODUCT,INTRODUCTION
28,Proton,1,GENE_PRODUCT,INTRODUCTION
29,energy transfer,1,EXPERIMENT,INTRODUCTION
30,HZE,1,GENE_PRODUCT,INTRODUCTION
31,HZE,1,GENE_PRODUCT,INTRODUCTION
32,positively charged,1,EXPERIMENT,INTRODUCTION
33,Cosmic Rays,1,EXPERIMENT,INTRODUCTION
34,HZE,1,GENE_PRODUCT,INTRODUCTION
35,HZE,1,GENE_PRODUCT,INTRODUCTION
36,cinogenic potential,1,EXPERIMENT,INTRODUCTION
37,HZE,1,GENE_PRODUCT,INTRODUCTION
38,HZE,1,GENE_PRODUCT,INTRODUCTION
39,-energy proton,1,EXPERIMENT,INTRODUCTION
41,LEO,1,GENE_PRODUCT,INTRODUCTION
42,LEO,1,GENE_PRODUCT,INTRODUCTION
43,ISS,1,GENE_PRODUCT,INTRODUCTION
44,HZE,1,GENE_PRODUCT,INTRODUCTION
45,ISS,1,GENE_PRODUCT,INTRODUCTION
46,Anomaly,1,GENE_PRODUCT,INTRODUCTION
47,ISS,1,GENE_PRODUCT,INTRODUCTION
48,LEO,1,GENE_PRODUCT,INTRODUCTION
49,periodic,1,GENE_PRODUCT,INTRODUCTION
50,solar particle events,1,EXPERIMENT,INTRODUCTION
51,LEO,1,GENE_PRODUCT,INTRODUCTION
52,LEO,1,GENE_PRODUCT,INTRODUCTION
53,protons,1,GENE_PRODUCT,INTRODUCTION
54,LEO,1,GENE_PRODUCT,INTRODUCTION
55,HZE,1,GENE_PRODUCT,INTRODUCTION
56,NSRL,1,GENE_PRODUCT,INTRODUCTION
57,HZE,1,GENE_PRODUCT,INTRODUCTION
58,LEO,1,GENE_PRODUCT,INTRODUCTION
59,central,1,GENE_PRODUCT,INTRODUCTION
60,nervous,1,GENE_PRODUCT,INTRODUCTION
61,CNS,1,GENE_PRODUCT,INTRODUCTION
62,astronauts,1,ANATOMICAL_SITE,INTRODUCTION
63,experiments,1,EXPERIMENT,INTRODUCTION
64,HZE particle,1,EXPERIMENT,INTRODUCTION
65,HZE,1,GENE_PRODUCT,INTRODUCTION
66,studies,1,GENE_PRODUCT,INTRODUCTION
67,lasting,1,GENE_PRODUCT,INTRODUCTION
68,decades,1,GENE_PRODUCT,INTRODUCTION
69,Animal,1,GENE_PRODUCT,INTRODUCTION
70,cell culture models,1,EXPERIMENT,INTRODUCTION
71,proton radiation,1,EXPERIMENT,INTRODUCTION
72,LET,1,GENE_PRODUCT,INTRODUCTION
73,cardiovascular system,1,ANATOMICAL_SITE,INTRODUCTION
74,150 MeV protons,1,EXPERIMENT,INTRODUCTION
75,600 MeV/n,1,EXPERIMENT,INTRODUCTION
76,iron ions,1,EXPERIMENT,INTRODUCTION
77,56 Fe,1,EXPERIMENT,INTRODUCTION
78,changes,1,GENE_PRODUCT,INTRODUCTION
79,cardiac,1,GENE_PRODUCT,INTRODUCTION
80,DNA methylation,1,EXPERIMENT,INTRODUCTION
81,HZE,1,GENE_PRODUCT,INTRODUCTION
83,MeV,1,GENE_PRODUCT,INTRODUCTION
85,MeV,1,GENE_PRODUCT,INTRODUCTION
87,animal models,1,EXPERIMENT,INTRODUCTION
88,HZE,1,GENE_PRODUCT,INTRODUCTION
89,HZE,1,GENE_PRODUCT,INTRODUCTION
90,GCR,1,GENE_PRODUCT,INTRODUCTION
91,HZE,1,GENE_PRODUCT,INTRODUCTION
92,Gene,1,GENE_PRODUCT,INTRODUCTION
93,GeneLab,1,GENE_PRODUCT,INTRODUCTION
94,GeneLab,1,GENE_PRODUCT,INTRODUCTION
95,GeneLab,1,GENE_PRODUCT,INTRODUCTION
96,cardiomyocytes,1,CELL_TYPE,INTRODUCTION
97,five different,1,EXPERIMENT,INTRODUCTION
98,bilical vein,1,EXPERIMENT,INTRODUCTION
99,endothelial cells,1,CELL_TYPE,INTRODUCTION
100,VECs,1,GENE_PRODUCT,INTRODUCTION
101,ISS,1,GENE_PRODUCT,INTRODUCTION
102,GeneLab,1,GENE_PRODUCT,INTRODUCTION
103,cardiovascular,1,ANATOMICAL_SITE,INTRODUCTION
104,systems biology,1,EXPERIMENT,INTRODUCTION
