:START_ID,:END_ID,type:TYPE,method,trigger,evidence_span,section_heading,sentence_id:int
4,3,GENE_PRODUCT_EXPRESSED_IN_CELL_TYPE,COOC,,Microarray data from cardiomyocytes of male C57BL/6 mice followed-up for 28 days after exposure to 900 mGy of 1 GeV proton or 150 mGy of 1 GeV/n 56 Fe were compared to human endothelial cells (HUVECs) cultured for 7 days on the Internationa,ABSTRACT,3
9,3,GENE_PRODUCT_EXPRESSED_IN_CELL_TYPE,COOC,,Microarray data from cardiomyocytes of male C57BL/6 mice followed-up for 28 days after exposure to 900 mGy of 1 GeV proton or 150 mGy of 1 GeV/n 56 Fe were compared to human endothelial cells (HUVECs) cultured for 7 days on the Internationa,ABSTRACT,3
3,10,CELL_TYPE_ASSOCIATED_WITH_PHENOTYPE,COOC,,Microarray data from cardiomyocytes of male C57BL/6 mice followed-up for 28 days after exposure to 900 mGy of 1 GeV proton or 150 mGy of 1 GeV/n 56 Fe were compared to human endothelial cells (HUVECs) cultured for 7 days on the Internationa,ABSTRACT,3
12,3,GENE_PRODUCT_EXPRESSED_IN_CELL_TYPE,COOC,,Microarray data from cardiomyocytes of male C57BL/6 mice followed-up for 28 days after exposure to 900 mGy of 1 GeV proton or 150 mGy of 1 GeV/n 56 Fe were compared to human endothelial cells (HUVECs) cultured for 7 days on the Internationa,ABSTRACT,3
13,3,GENE_PRODUCT_EXPRESSED_IN_CELL_TYPE,COOC,,Microarray data from cardiomyocytes of male C57BL/6 mice followed-up for 28 days after exposure to 900 mGy of 1 GeV proton or 150 mGy of 1 GeV/n 56 Fe were compared to human endothelial cells (HUVECs) cultured for 7 days on the Internationa,ABSTRACT,3
14,3,GENE_PRODUCT_EXPRESSED_IN_CELL_TYPE,COOC,,Microarray data from cardiomyocytes of male C57BL/6 mice followed-up for 28 days after exposure to 900 mGy of 1 GeV proton or 150 mGy of 1 GeV/n 56 Fe were compared to human endothelial cells (HUVECs) cultured for 7 days on the Internationa,ABSTRACT,3
4,8,GENE_PRODUCT_EXPRESSED_IN_CELL_TYPE,COOC,,Microarray data from cardiomyocytes of male C57BL/6 mice followed-up for 28 days after exposure to 900 mGy of 1 GeV proton or 150 mGy of 1 GeV/n 56 Fe were compared to human endothelial cells (HUVECs) cultured for 7 days on the Internationa,ABSTRACT,3
4,9,GENE_PRODUCT_INTERACTS_WITH_GENE_PRODUCT,COOC,,Microarray data from cardiomyocytes of male C57BL/6 mice followed-up for 28 days after exposure to 900 mGy of 1 GeV proton or 150 mGy of 1 GeV/n 56 Fe were compared to human endothelial cells (HUVECs) cultured for 7 days on the Internationa,ABSTRACT,3
4,12,GENE_PRODUCT_INTERACTS_WITH_GENE_PRODUCT,COOC,,Microarray data from cardiomyocytes of male C57BL/6 mice followed-up for 28 days after exposure to 900 mGy of 1 GeV proton or 150 mGy of 1 GeV/n 56 Fe were compared to human endothelial cells (HUVECs) cultured for 7 days on the Internationa,ABSTRACT,3
4,13,GENE_PRODUCT_INTERACTS_WITH_GENE_PRODUCT,COOC,,Microarray data from cardiomyocytes of male C57BL/6 mice followed-up for 28 days after exposure to 900 mGy of 1 GeV proton or 150 mGy of 1 GeV/n 56 Fe were compared to human endothelial cells (HUVECs) cultured for 7 days on the Internationa,ABSTRACT,3
4,14,GENE_PRODUCT_INTERACTS_WITH_GENE_PRODUCT,COOC,,Microarray data from cardiomyocytes of male C57BL/6 mice followed-up for 28 days after exposure to 900 mGy of 1 GeV proton or 150 mGy of 1 GeV/n 56 Fe were compared to human endothelial cells (HUVECs) cultured for 7 days on the Internationa,ABSTRACT,3
9,8,GENE_PRODUCT_EXPRESSED_IN_CELL_TYPE,COOC,,Microarray data from cardiomyocytes of male C57BL/6 mice followed-up for 28 days after exposure to 900 mGy of 1 GeV proton or 150 mGy of 1 GeV/n 56 Fe were compared to human endothelial cells (HUVECs) cultured for 7 days on the Internationa,ABSTRACT,3
8,10,CELL_TYPE_ASSOCIATED_WITH_PHENOTYPE,COOC,,Microarray data from cardiomyocytes of male C57BL/6 mice followed-up for 28 days after exposure to 900 mGy of 1 GeV proton or 150 mGy of 1 GeV/n 56 Fe were compared to human endothelial cells (HUVECs) cultured for 7 days on the Internationa,ABSTRACT,3
12,8,GENE_PRODUCT_EXPRESSED_IN_CELL_TYPE,COOC,,Microarray data from cardiomyocytes of male C57BL/6 mice followed-up for 28 days after exposure to 900 mGy of 1 GeV proton or 150 mGy of 1 GeV/n 56 Fe were compared to human endothelial cells (HUVECs) cultured for 7 days on the Internationa,ABSTRACT,3
13,8,GENE_PRODUCT_EXPRESSED_IN_CELL_TYPE,COOC,,Microarray data from cardiomyocytes of male C57BL/6 mice followed-up for 28 days after exposure to 900 mGy of 1 GeV proton or 150 mGy of 1 GeV/n 56 Fe were compared to human endothelial cells (HUVECs) cultured for 7 days on the Internationa,ABSTRACT,3
14,8,GENE_PRODUCT_EXPRESSED_IN_CELL_TYPE,COOC,,Microarray data from cardiomyocytes of male C57BL/6 mice followed-up for 28 days after exposure to 900 mGy of 1 GeV proton or 150 mGy of 1 GeV/n 56 Fe were compared to human endothelial cells (HUVECs) cultured for 7 days on the Internationa,ABSTRACT,3
9,12,GENE_PRODUCT_INTERACTS_WITH_GENE_PRODUCT,COOC,,Microarray data from cardiomyocytes of male C57BL/6 mice followed-up for 28 days after exposure to 900 mGy of 1 GeV proton or 150 mGy of 1 GeV/n 56 Fe were compared to human endothelial cells (HUVECs) cultured for 7 days on the Internationa,ABSTRACT,3
9,13,GENE_PRODUCT_INTERACTS_WITH_GENE_PRODUCT,COOC,,Microarray data from cardiomyocytes of male C57BL/6 mice followed-up for 28 days after exposure to 900 mGy of 1 GeV proton or 150 mGy of 1 GeV/n 56 Fe were compared to human endothelial cells (HUVECs) cultured for 7 days on the Internationa,ABSTRACT,3
9,14,GENE_PRODUCT_INTERACTS_WITH_GENE_PRODUCT,COOC,,Microarray data from cardiomyocytes of male C57BL/6 mice followed-up for 28 days after exposure to 900 mGy of 1 GeV proton or 150 mGy of 1 GeV/n 56 Fe were compared to human endothelial cells (HUVECs) cultured for 7 days on the Internationa,ABSTRACT,3
12,13,GENE_PRODUCT_INTERACTS_WITH_GENE_PRODUCT,COOC,,Microarray data from cardiomyocytes of male C57BL/6 mice followed-up for 28 days after exposure to 900 mGy of 1 GeV proton or 150 mGy of 1 GeV/n 56 Fe were compared to human endothelial cells (HUVECs) cultured for 7 days on the Internationa,ABSTRACT,3
12,14,GENE_PRODUCT_INTERACTS_WITH_GENE_PRODUCT,COOC,,Microarray data from cardiomyocytes of male C57BL/6 mice followed-up for 28 days after exposure to 900 mGy of 1 GeV proton or 150 mGy of 1 GeV/n 56 Fe were compared to human endothelial cells (HUVECs) cultured for 7 days on the Internationa,ABSTRACT,3
13,14,GENE_PRODUCT_INTERACTS_WITH_GENE_PRODUCT,COOC,,Microarray data from cardiomyocytes of male C57BL/6 mice followed-up for 28 days after exposure to 900 mGy of 1 GeV proton or 150 mGy of 1 GeV/n 56 Fe were compared to human endothelial cells (HUVECs) cultured for 7 days on the Internationa,ABSTRACT,3
16,17,GENE_PRODUCT_INTERACTS_WITH_GENE_PRODUCT,COOC,,The transcriptomic signature of exposure to protons was also much closer to the spaceflight signature than 56 Fe's signature.,ABSTRACT,4
19,20,GENE_PRODUCT_INTERACTS_WITH_GENE_PRODUCT,COOC,,"To our knowledge, this is the first time GeneLab datasets were utilized to provide potential biological indications that the majority of ions on the ISS are protons, clearly illustrating the power of omics analysis.",ABSTRACT,5
26,27,GENE_PRODUCT_INTERACTS_WITH_GENE_PRODUCT,COOC,,Space radiation observed on the International Space Station (ISS) is quite different from ionizing radiation found on Earth and is composed primarily of protons (both high and low energy) and HZE ions (high (H) atomic number (Z) and energy ,INTRODUCTION,10
26,28,GENE_PRODUCT_INTERACTS_WITH_GENE_PRODUCT,COOC,,Space radiation observed on the International Space Station (ISS) is quite different from ionizing radiation found on Earth and is composed primarily of protons (both high and low energy) and HZE ions (high (H) atomic number (Z) and energy ,INTRODUCTION,10
26,30,GENE_PRODUCT_INTERACTS_WITH_GENE_PRODUCT,COOC,,Space radiation observed on the International Space Station (ISS) is quite different from ionizing radiation found on Earth and is composed primarily of protons (both high and low energy) and HZE ions (high (H) atomic number (Z) and energy ,INTRODUCTION,10
26,31,GENE_PRODUCT_INTERACTS_WITH_GENE_PRODUCT,COOC,,Space radiation observed on the International Space Station (ISS) is quite different from ionizing radiation found on Earth and is composed primarily of protons (both high and low energy) and HZE ions (high (H) atomic number (Z) and energy ,INTRODUCTION,10
26,34,GENE_PRODUCT_INTERACTS_WITH_GENE_PRODUCT,COOC,,Space radiation observed on the International Space Station (ISS) is quite different from ionizing radiation found on Earth and is composed primarily of protons (both high and low energy) and HZE ions (high (H) atomic number (Z) and energy ,INTRODUCTION,10
26,35,GENE_PRODUCT_INTERACTS_WITH_GENE_PRODUCT,COOC,,Space radiation observed on the International Space Station (ISS) is quite different from ionizing radiation found on Earth and is composed primarily of protons (both high and low energy) and HZE ions (high (H) atomic number (Z) and energy ,INTRODUCTION,10
27,28,GENE_PRODUCT_INTERACTS_WITH_GENE_PRODUCT,COOC,,Space radiation observed on the International Space Station (ISS) is quite different from ionizing radiation found on Earth and is composed primarily of protons (both high and low energy) and HZE ions (high (H) atomic number (Z) and energy ,INTRODUCTION,10
27,30,GENE_PRODUCT_INTERACTS_WITH_GENE_PRODUCT,COOC,,Space radiation observed on the International Space Station (ISS) is quite different from ionizing radiation found on Earth and is composed primarily of protons (both high and low energy) and HZE ions (high (H) atomic number (Z) and energy ,INTRODUCTION,10
27,31,GENE_PRODUCT_INTERACTS_WITH_GENE_PRODUCT,COOC,,Space radiation observed on the International Space Station (ISS) is quite different from ionizing radiation found on Earth and is composed primarily of protons (both high and low energy) and HZE ions (high (H) atomic number (Z) and energy ,INTRODUCTION,10
27,34,GENE_PRODUCT_INTERACTS_WITH_GENE_PRODUCT,COOC,,Space radiation observed on the International Space Station (ISS) is quite different from ionizing radiation found on Earth and is composed primarily of protons (both high and low energy) and HZE ions (high (H) atomic number (Z) and energy ,INTRODUCTION,10
27,35,GENE_PRODUCT_INTERACTS_WITH_GENE_PRODUCT,COOC,,Space radiation observed on the International Space Station (ISS) is quite different from ionizing radiation found on Earth and is composed primarily of protons (both high and low energy) and HZE ions (high (H) atomic number (Z) and energy ,INTRODUCTION,10
28,30,GENE_PRODUCT_INTERACTS_WITH_GENE_PRODUCT,COOC,,Space radiation observed on the International Space Station (ISS) is quite different from ionizing radiation found on Earth and is composed primarily of protons (both high and low energy) and HZE ions (high (H) atomic number (Z) and energy ,INTRODUCTION,10
28,31,GENE_PRODUCT_INTERACTS_WITH_GENE_PRODUCT,COOC,,Space radiation observed on the International Space Station (ISS) is quite different from ionizing radiation found on Earth and is composed primarily of protons (both high and low energy) and HZE ions (high (H) atomic number (Z) and energy ,INTRODUCTION,10
