id:ID,mention,frequency:int,node_type:LABEL,sections
0,hASCs,1,GENE_PRODUCT,ABSTRACT
1,OCT4,1,GENE_PRODUCT,ABSTRACT
2,SOX2,1,GENE_PRODUCT,ABSTRACT
3,NANOG,1,GENE_PRODUCT,ABSTRACT
4,MYC,1,GENE_PRODUCT,ABSTRACT
5,KLF,1,GENE_PRODUCT,ABSTRACT
14,Muse,1,GENE_PRODUCT,INTRODUCTION
20,hASCs,1,GENE_PRODUCT,INTRODUCTION
22,Osaka,1,GENE_PRODUCT,Primary Culture of hASCs
23,Japan,1,GENE_PRODUCT,Primary Culture of hASCs
27,SVF,1,GENE_PRODUCT,Primary Culture of hASCs
31,SVF,1,GENE_PRODUCT,Primary Culture of hASCs
33,Dulbecco,1,GENE_PRODUCT,Primary Culture of hASCs
34,Carlsbad,1,GENE_PRODUCT,Primary Culture of hASCs
36,USA,1,GENE_PRODUCT,Primary Culture of hASCs
37,Germany,1,GENE_PRODUCT,Primary Culture of hASCs
38,CD105,1,GENE_PRODUCT,Primary Culture of hASCs
39,First,1,GENE_PRODUCT,Characterization of SSEA-3-Positive Cells in the hASC Pool
41,USA,1,GENE_PRODUCT,Characterization of SSEA-3-Positive Cells in the hASC Pool
43,IgG,1,GENE_PRODUCT,Characterization of SSEA-3-Positive Cells in the hASC Pool
49,Gyeonggi,1,GENE_PRODUCT,Characterization of SSEA-3-Positive Cells in the hASC Pool
50,Korea,1,GENE_PRODUCT,Characterization of SSEA-3-Positive Cells in the hASC Pool
52,First,1,GENE_PRODUCT,Preparation of Microspheres
54,USA,1,GENE_PRODUCT,Preparation of Microspheres
56,Kyoto,1,GENE_PRODUCT,Preparation of Microspheres
57,Cellagen,1,GENE_PRODUCT,Preparation of Microspheres
58,Koken,1,GENE_PRODUCT,Preparation of Microspheres
59,Tokyo,1,GENE_PRODUCT,Preparation of Microspheres
60,Japan,1,GENE_PRODUCT,Preparation of Microspheres
62,PBS,1,GENE_PRODUCT,hASC Loading onto Microspheres for Microgravity Culture
63,Corning,1,GENE_PRODUCT,hASC Loading onto Microspheres for Microgravity Culture
65,Taitec,1,GENE_PRODUCT,hASC Loading onto Microspheres for Microgravity Culture
66,Saitama,1,GENE_PRODUCT,hASC Loading onto Microspheres for Microgravity Culture
67,Japan,1,GENE_PRODUCT,hASC Loading onto Microspheres for Microgravity Culture
79,Wetzlar,1,GENE_PRODUCT,Cell Growth in Microsphere Cultures
80,Germany,1,GENE_PRODUCT,Cell Growth in Microsphere Cultures
81,SEM,1,GENE_PRODUCT,Cell Growth in Microsphere Cultures
82,Hitachi,1,GENE_PRODUCT,Cell Growth in Microsphere Cultures
83,Tokyo,1,GENE_PRODUCT,Cell Growth in Microsphere Cultures
84,Japan,1,GENE_PRODUCT,Cell Growth in Microsphere Cultures
85,hASCs,1,GENE_PRODUCT,Proliferation of SSEA-3-Positive hASCs in Microsphere Cultures
86,PBS,1,GENE_PRODUCT,Immunocytochemistry
89,GeneTex,1,GENE_PRODUCT,Immunocytochemistry
90,Irvine,1,GENE_PRODUCT,Immunocytochemistry
91,USA,1,GENE_PRODUCT,Immunocytochemistry
92,GeneTex,1,GENE_PRODUCT,Immunocytochemistry
93,GeneTex,1,GENE_PRODUCT,Immunocytochemistry
96,Alexa,1,GENE_PRODUCT,Immunocytochemistry
98,PBS,1,GENE_PRODUCT,Immunocytochemistry
99,Hoechst,1,GENE_PRODUCT,Immunocytochemistry
100,Dojindo,1,GENE_PRODUCT,Immunocytochemistry
101,Kumamoto,1,GENE_PRODUCT,Immunocytochemistry
102,Japan,1,GENE_PRODUCT,Immunocytochemistry
105,Keyence,1,GENE_PRODUCT,Immunocytochemistry
106,Osaka,1,GENE_PRODUCT,Immunocytochemistry
107,Japan,1,GENE_PRODUCT,Immunocytochemistry
108,RNA,1,GENE_PRODUCT,Quantitative Real-Time Polymerase Chain Reaction (RT-PCR)
109,Qiagen,1,REAGENT,Quantitative Real-Time Polymerase Chain Reaction (RT-PCR)
110,Carlsbad,1,GENE_PRODUCT,Quantitative Real-Time Polymerase Chain Reaction (RT-PCR)
112,USA,1,GENE_PRODUCT,Quantitative Real-Time Polymerase Chain Reaction (RT-PCR)
113,Waltham,1,GENE_PRODUCT,Quantitative Real-Time Polymerase Chain Reaction (RT-PCR)
115,USA,1,GENE_PRODUCT,Quantitative Real-Time Polymerase Chain Reaction (RT-PCR)
118,methanol,1,GENE_PRODUCT,Colony-Forming Assay
120,USA,1,GENE_PRODUCT,Colony-Forming Assay
121,Matrigel,1,GENE_PRODUCT,In Vitro Angiogenesis (Network Formation) Assay
126,EBM,1,GENE_PRODUCT,In Vitro Angiogenesis (Network Formation) Assay
127,Cambrex,1,GENE_PRODUCT,In Vitro Angiogenesis (Network Formation) Assay
129,USA,1,GENE_PRODUCT,In Vitro Angiogenesis (Network Formation) Assay
133,EBM,1,GENE_PRODUCT,In Vitro Angiogenesis (Network Formation) Assay
134,Matrigel,1,GENE_PRODUCT,In Vitro Angiogenesis (Network Formation) Assay
136,USA,1,GENE_PRODUCT,Multilineage Differentiation Assay
137,AdipoRed,1,GENE_PRODUCT,Multilineage Differentiation Assay
138,Basel,1,GENE_PRODUCT,Multilineage Differentiation Assay
139,hASCs,1,GENE_PRODUCT,Multilineage Differentiation Assay
140,Alcian,1,GENE_PRODUCT,Multilineage Differentiation Assay
141,SPSS,1,GENE_PRODUCT,Statistics
142,Chicago,1,GENE_PRODUCT,Statistics
144,USA,1,GENE_PRODUCT,Statistics
145,CD105,1,GENE_PRODUCT,Characterization of SSEA-3-Positive hASCs
151,OCT4,1,GENE_PRODUCT,Immunocytochemistry
152,SOX2,1,GENE_PRODUCT,Immunocytochemistry
153,hASCs,1,GENE_PRODUCT,Immunocytochemistry
154,NANOG,1,GENE_PRODUCT,Immunocytochemistry
155,hASCs,1,GENE_PRODUCT,Selected Gene Expression Analysis by RT-PCR
156,hASCs,1,GENE_PRODUCT,Selected Gene Expression Analysis by RT-PCR
157,OCT4,1,GENE_PRODUCT,Selected Gene Expression Analysis by RT-PCR
158,SOX2,1,GENE_PRODUCT,Selected Gene Expression Analysis by RT-PCR
159,KLF4,1,GENE_PRODUCT,Selected Gene Expression Analysis by RT-PCR
160,MYC,1,GENE_PRODUCT,Selected Gene Expression Analysis by RT-PCR
161,KLF4,1,GENE_PRODUCT,Selected Gene Expression Analysis by RT-PCR
162,OCT4,1,GENE_PRODUCT,Selected Gene Expression Analysis by RT-PCR
163,SOX2,1,GENE_PRODUCT,Selected Gene Expression Analysis by RT-PCR
164,hASCs,1,GENE_PRODUCT,Selected Gene Expression Analysis by RT-PCR
165,NANOG,1,GENE_PRODUCT,Selected Gene Expression Analysis by RT-PCR
166,hASCs,1,GENE_PRODUCT,Selected Gene Expression Analysis by RT-PCR
167,hASCs,1,GENE_PRODUCT,Selected Gene Expression Analysis by RT-PCR
168,OCT4,1,GENE_PRODUCT,Selected Gene Expression Analysis by RT-PCR
169,SOX2,1,GENE_PRODUCT,Selected Gene Expression Analysis by RT-PCR
170,KLF4,1,GENE_PRODUCT,Selected Gene Expression Analysis by RT-PCR
171,MYC,1,GENE_PRODUCT,Selected Gene Expression Analysis by RT-PCR
172,KLF4,1,GENE_PRODUCT,Selected Gene Expression Analysis by RT-PCR
175,hASCs,1,GENE_PRODUCT,Multilineage Differentiation Assay
176,hASCs,1,GENE_PRODUCT,Multilineage Differentiation Assay
177,hASCs,1,GENE_PRODUCT,Multilineage Differentiation Assay
178,hASCs,1,GENE_PRODUCT,Multilineage Differentiation Assay
186,hASCs,1,GENE_PRODUCT,Discussions
188,Muse,1,GENE_PRODUCT,Discussions
189,Sox2,1,GENE_PRODUCT,Discussions
190,Sox2,1,GENE_PRODUCT,Discussions
191,OCT4,1,GENE_PRODUCT,Discussions
192,SOX2,1,GENE_PRODUCT,Discussions
193,NANOG,1,GENE_PRODUCT,Discussions
194,MYC,1,GENE_PRODUCT,Discussions
195,KLF,1,GENE_PRODUCT,Discussions
196,hASCs,1,GENE_PRODUCT,Discussions
197,OCT4,1,GENE_PRODUCT,Discussions
198,NANOG,1,GENE_PRODUCT,Discussions
199,SOX2,1,GENE_PRODUCT,Discussions
200,MYC,1,GENE_PRODUCT,Discussions
201,KLF,1,GENE_PRODUCT,Discussions
202,OCT4,1,GENE_PRODUCT,Discussions
203,SOX2,1,GENE_PRODUCT,Discussions
204,NANOG,1,GENE_PRODUCT,Discussions
205,MYC,1,GENE_PRODUCT,Discussions
206,KLF,1,GENE_PRODUCT,Discussions
207,hASCs,1,GENE_PRODUCT,Discussions
208,OCT4,1,GENE_PRODUCT,Discussions
209,NANOG,1,GENE_PRODUCT,Discussions
210,SOX2,1,GENE_PRODUCT,Discussions
211,MYC,1,GENE_PRODUCT,Discussions
212,KLF,1,GENE_PRODUCT,Discussions
213,hASCs,1,GENE_PRODUCT,Discussions
PUB_PMC7998608,PMC7998608,1,PUBLICATION,
