id:ID,mention,frequency:int,node_type:LABEL,sections
0,Microgravity,1,PHENOTYPE,ABSTRACT
1,Hippo,1,PATHWAY,ABSTRACT
2,Scopus,1,GENE_PRODUCT,METHODS
3,Embase,1,GENE_PRODUCT,METHODS
4,PICOT,1,GENE_PRODUCT,METHODS
5,PICO,1,GENE_PRODUCT,•
6,MeSH,1,GENE_PRODUCT,•
7,English,1,GENE_PRODUCT,•
8,Spanish,1,GENE_PRODUCT,•
9,Microgravity,1,PHENOTYPE,Alterations in Immune Cells
12,MHC,1,GENE_PRODUCT,Alterations in Immune Cells
13,Microgravity,1,PHENOTYPE,Alterations in Immune Cells
16,MHC,1,GENE_PRODUCT,Alterations in Immune Cells
18,RAS,1,GENE_PRODUCT,Alterations in Immune Cells
20,Microgravity,1,PHENOTYPE,Impact on T Cells
21,CD71,1,GENE_PRODUCT,Impact on T Cells
22,IFN,1,GENE_PRODUCT,Impact on T Cells
24,IFN,1,GENE_PRODUCT,Impact on T Cells
26,RAS,1,GENE_PRODUCT,Impact on Key Molecular Pathways
27,ERK,1,GENE_PRODUCT,Impact on Key Molecular Pathways
29,RAS,1,GENE_PRODUCT,Impact on Key Molecular Pathways
30,ERK,1,GENE_PRODUCT,Impact on Key Molecular Pathways
31,NF-κB,1,GENE_PRODUCT,Impact on Key Molecular Pathways
32,NF-κB,1,GENE_PRODUCT,Impact on Key Molecular Pathways
33,BAX,1,GENE_PRODUCT,Impact on Key Molecular Pathways
34,VEGF,1,GENE_PRODUCT,Impact on Key Molecular Pathways
35,CSCs,1,GENE_PRODUCT,Cancer Stem Cells
36,CSC,1,GENE_PRODUCT,Cancer Stem Cells
37,CSC,1,GENE_PRODUCT,Cancer Stem Cells
38,CSC,1,GENE_PRODUCT,Cancer Stem Cells
39,vinculin,1,GENE_PRODUCT,Cancer Stem Cells
40,paxillin,1,GENE_PRODUCT,Cancer Stem Cells
41,RWV,1,GENE_PRODUCT,Cancer Stem Cells
42,U251,1,GENE_PRODUCT,Cancer Stem Cells
