:START_ID,:END_ID,type:TYPE,method,trigger,evidence_span,section_heading,sentence_id:int
2,3,GENE_PRODUCT_INTERACTS_WITH_GENE_PRODUCT,COOC,,"A comprehensive literature review was conducted using PubMed, Scopus, and Embase databases.",METHODS,19
7,8,GENE_PRODUCT_INTERACTS_WITH_GENE_PRODUCT,COOC,,The literature search was performed in December 2024 and included publications in English and Spanish.,•,26
26,27,GENE_PRODUCT_INTERACTS_WITH_GENE_PRODUCT,COOC,,"At the molecular level, microgravity disrupts critical signaling pathways, including RAS, ERK, and NF-κB.The RAS pathway, which governs cell proliferation and survival, shows reduced activity under microgravity, leading to impaired cell gro",Impact on Key Molecular Pathways,65
26,29,GENE_PRODUCT_INTERACTS_WITH_GENE_PRODUCT,COOC,,"At the molecular level, microgravity disrupts critical signaling pathways, including RAS, ERK, and NF-κB.The RAS pathway, which governs cell proliferation and survival, shows reduced activity under microgravity, leading to impaired cell gro",Impact on Key Molecular Pathways,65
27,29,GENE_PRODUCT_INTERACTS_WITH_GENE_PRODUCT,COOC,,"At the molecular level, microgravity disrupts critical signaling pathways, including RAS, ERK, and NF-κB.The RAS pathway, which governs cell proliferation and survival, shows reduced activity under microgravity, leading to impaired cell gro",Impact on Key Molecular Pathways,65
32,33,GENE_PRODUCT_INTERACTS_WITH_GENE_PRODUCT,COOC,,"Research on microgravity has also revealed significant effects on cancer biology, including the formation of multicellular spheroids (MCS), the reorganization of the cytoskeleton, and the regulation of key proteins such as p53 (a tumor supp",Impact on Key Molecular Pathways,68
39,40,GENE_PRODUCT_INTERACTS_WITH_GENE_PRODUCT,COOC,,"Additionally, reduced gravity downregulates adhesion proteins (e.g., E-cadherin, vinculin, paxillin), weakening cell-cell interactions and potentially enhancing metastatic potential.",Cancer Stem Cells,94
42,43,GENE_PRODUCT_INTERACTS_WITH_GENE_PRODUCT,COOC,,"In gliomas (U251 model), microgravity reduces the activity of focal adhesion kinase (FAK), RhoA, and Nek2 kinase, inhibiting tumor cell migration.",Cancer Stem Cells,98
45,46,GENE_PRODUCT_INTERACTS_WITH_GENE_PRODUCT,COOC,,"Recent findings suggest that microgravity could offer therapeutic benefits by inhibiting NF-κB, reducing cancer spread, and decreasing VEGF activity to limit tumor growth through reduced angiogenesis.",Cancer Stem Cells,100
80,79,GENE_PRODUCT_INVOLVED_IN_PATHWAY,COOC,,"[53] (Figure 4).Additionally, it leads to the temporary deactivation of the Hippo pathway, involving upstream regulators such as MST1/2, SAV1, WWC1-3, LATS1/2, and MOB1, which in turn promotes the nuclear translocation of YAP/TAZ.Furthermor",Impacts on Stem Cells and Cell Regeneration,262
81,79,GENE_PRODUCT_INVOLVED_IN_PATHWAY,COOC,,"[53] (Figure 4).Additionally, it leads to the temporary deactivation of the Hippo pathway, involving upstream regulators such as MST1/2, SAV1, WWC1-3, LATS1/2, and MOB1, which in turn promotes the nuclear translocation of YAP/TAZ.Furthermor",Impacts on Stem Cells and Cell Regeneration,262
82,79,GENE_PRODUCT_INVOLVED_IN_PATHWAY,COOC,,"[53] (Figure 4).Additionally, it leads to the temporary deactivation of the Hippo pathway, involving upstream regulators such as MST1/2, SAV1, WWC1-3, LATS1/2, and MOB1, which in turn promotes the nuclear translocation of YAP/TAZ.Furthermor",Impacts on Stem Cells and Cell Regeneration,262
83,79,GENE_PRODUCT_INVOLVED_IN_PATHWAY,COOC,,"[53] (Figure 4).Additionally, it leads to the temporary deactivation of the Hippo pathway, involving upstream regulators such as MST1/2, SAV1, WWC1-3, LATS1/2, and MOB1, which in turn promotes the nuclear translocation of YAP/TAZ.Furthermor",Impacts on Stem Cells and Cell Regeneration,262
